XX, <V>, S(<V>), R, r, MIR, Decl, LO, MM, BS_50, BV_50, β, GS, PR, EG, 𝛾, B%, LPR', LUE
A, 0.6, 0.6003, 1.0033, 0.8431, 0.9861, 4.9264, 0.1171, 0, 0, 0, 0.0256, -0.0363, -0.0003, 0.0997, -0.016, 0.0084, -0.0068, -0.1554
B, 0.6, 0.692, 1.92, 1.6134, 0.4198, 1.2159, 0.1028, 0, 0, 0, 0.0473, -0.0264, -0.092, 0.008, -0.0307, -0.092, -0.0999, -2.4965
C, 0.6, 0.7977, 2.9767, 2.4315, 0.2113, 5.944, 0.109, 0, 0, 0, 0.0515, -0.0173, -0.1977, -0.0977, -0.0545, -0.1977, -0.2041, -5.103
D, 0.64, 0.9838, 3.456, 0.7471, 1.1385, NaN, NaN, 0, 0, 0, 0.0069, -0.008, -0.3438, -0.2038, -0.3792, -0.3838, -0.3541, -3.5405
E, 0.52, 0.6665, 8.3239, 8.0289, 0.0246, NaN, 0.0258, 0.0125, 0.0015, 0.0002, 0.0027, 0.0006, -0.1465, -0.1265, -0.0059, -0.1665, -0.1315, -1.5783
F, 0.51, 0.5657, 6.5737, 4.997, 0.1001, -0.7359, 0.0084, -0.005, -0.0149, -0.0028, -0.0134, -0.0036, -0.0557, -0.0457, -0.0158, -0.0657, -0.05, -0.4995
G, 0.523, 0.5993, 4.3183, 0.0541, 18.4012, -15.2894, -0.0294, -0.092, -0.0961, -0.067, -0.0918, -0.0461, -0.0763, -0.0533, -0.0981, -0.0993, -0.0985, -0.9853
H, 0.523, 0.6, 4.3478, 0, 207003.1705, -18.0935, -0.08, -0.192, -0.1, -0.1261, -0.1, -0.0797, -0.077, -0.054, -0.1, -0.1, -0.1, -1
I, 0.57, 0.7398, 3.4262, 1.9415, 0.3151, -29.9897, -0.016, 0, 0, 0, 0.0085, -0.0139, -0.1698, -0.0998, -0.1039, -0.1398, -0.1551, -1.5514
J, 0.443, 0.556, -0.9822, 1.6239, 0.4158, -29.0115, -0.1536, -0.092, -0.0949, -0.08, -0.0783, -0.0336, -0.113, -0.17, -0.1485, -0.156, -0.1118, -1.1185
K, 0.5, 0.3388, NaN, 1.3046, 0.6665, 31.2293, 0.0883, 0.06, 0.1612, 0.0493, 0.1612, 0.0542, 0.1612, 0.1612, 0.1612, 0.1612, 0.1564, 1.5639
L, 0.3, 0.1796, 1.6019, 5.025, 0, -24.5956, -0.236, 0.06, 0.132, 0.0324, -0.0898, 0.0827, 0.1204, -0.0796, -0.6846, 0.1204, 0.15, 1.4997
